Name (Social Reason),Legal Designation,Other Designation,Address,City,Postal Code,Province,Country,Latitude,Longitude,Administration Region,Permit #,Measure under the Permit #,Type of Permit,AMBQ Member,Year Founded,Website,Email,Telephone,Facebook,Ratebeer,Untappd,Menu,Twitter,Wikidata,Youtube,Instagram,Pinterest,Snapchat,Other,Notes
ALBION BRASSERIE ARTISANALE ,9215-0648 QUÉBEC INC.,,"408, BOULEVARD MANSEAU ",JOLIETTE ,J6E 3E1 ,Québec,Canada,46.025392,-73.43951,14,AB049 ,,Producteur artisanal de bière ,1,2010,http://www.brasseriealbion.com/,brasseriealbion@gmail.com,450-759-7482,https://www.facebook.com/brasserieartisanale.albion,http://www.ratebeer.com/brewers/brasserie-artisanale-albion/12381/,https://untappd.com/BrasserieAlbion,X,X,?,?,?,?,?,,
LA SUCCURSALE ,9214-8147 QUÉBEC INC.,,"3188, RUE MASSON ",MONTRÉAL ,H1Y 1Y1 ,Québec,Canada,45.55016,-73.573493,6,AB051 ,,Producteur artisanal de bière ,0,2011,http://lasuccursale.com/,info@lasuccursale.com,514-508-1615,https://www.facebook.com/Brasserie-artisanale-La-Succursale-143406492363466,http://www.ratebeer.com/brewers/la-succursale/12864/,https://untappd.com/w/la-succursale/20082,X,https://twitter.com/LaSuccursale,?,?,?,?,?,,
LES TROIS BRASSEURS (ANJOU),9190-7121 QUÉBEC INC.,,"7225, BOULEVARD LES GALERIES D'ANJOU ",MONTRÉAL ,H1M 2W2 ,Québec,Canada,45.596872,-73.560503,6,AB052 ,,Producteur artisanal de bière ,0,2011,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,514-351-5591,https://www.facebook.com/3BrasseursAnjou/,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
LA SOCIÉTÉ MICRO BRASSERIE,9220-1912 QUÉBEC INC.,,"11640, 1RE AVENUE ",SAINT-GEORGES ,G5Y 2C7 ,Québec,Canada,46.623744,-72.657681,12,AB053 ,,Producteur artisanal de bière ,0,2010,http://www.societemicrobrasserie.com/,info@societemicrobrasserie.com,418-226-4646,https://www.facebook.com/societemicrobrasserie/?rf=307182382638905,http://www.ratebeer.com/brewers/la-societe-microbrasserie/14044/,https://untappd.com/w/la-soci-t-microbrasserie/25369,X,X,Q26205075,?,?,?,?,,
MICROBRASSERIE LE COUREUR DES BOIS,MICROBRASSERIE LE COUREUR DES BOIS INC.,,"1551, BOULVARD WALLBERG ",DOLBEAU-MISTASSINI ,G8L 1H5 ,Québec,Canada,48.883188,-72.233521,2,AB054 ,,Producteur artisanal de bière ,0,2011,http://www.lecoureurdesbois.com/,lecoureurdesbois.com@gmail.com,418-979-1197,https://www.facebook.com/lecoureurdesbois,http://www.ratebeer.com/brewers/microbrasserie-le-coureur-des-bois/14045/,https://untappd.com/w/microbrasserie-le-coureur-des-bois/20682,X,X,?,?,?,?,?,,
LES TROIS BRASSEURS ,9190-7121 QUÉBEC INC.,,"2450, BOULEVARD LAURIER ",QUÉBEC ,G1V 2L1,Québec,Canada,46.773874,-71.275233,3,AB055 ,,Producteur artisanal de bière ,0,2011,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,418-914-6515,https://www.facebook.com/3b220laurier/,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
BRASSERIE ARTISANALE LE SAINT-GRAAL,BRASSERIE ARTISANALE LE SAINT-GRAAL INC. ,,"32, RUE TURGEON ",SAINTE-THÉRÈSE ,J7E 3H4 ,Québec,Canada,45.638525,-73.840683,15,AB056 ,,Producteur artisanal de bière ,0,2010,http://www.saintgraal.ca/,?,450-818-6039,https://www.facebook.com/Le-Saint-Graal-Brasserie-artisanale-143139195698756/,http://www.ratebeer.com/brewers/le-saint-graal/12232/,https://untappd.com/w/brasserie-artisanale-le-saintgraal/22006,X,https://twitter.com/lesaintgraal,?,?,?,?,?,,
BISTRO-BRASSERIE LES SŒURS GRISES,9248-1779 QUÉBEC INC.,,"32, RUE MCGILL",MONTRÉAL ,H2Y 3W5 ,Québec,Canada,45.498723,-73.553162,6,AB058 ,,Producteur artisanal de bière ,0,2011,http://www.bblsg.com/,info@bblsg.com,514-788-7635,https://www.facebook.com/Bistro-Brasserie-Les-Soeurs-Grises-286991374657932/timeline/,http://www.ratebeer.com/brewers/bistro-brasserie-les-soeurs-grises/14232/,https://untappd.com/w/bistro-brasserie-les-soeurs-grises/66544,https://www.aumenu.info/bistro-brasserie-les-soeurs-grises/,X,?,?,?,?,?,,
LAGABIÈRE BRASSERIE ARTISANALE,LAGABIÈRE INC.,,"167, RUE RICHELIEU ",SAINT-JEAN-SUR-RICHELIEU,J3B 6X7 ,Québec,Canada,45.305432,-73.25067,16,AB059 ,,Producteur artisanal de bière ,1,2012,http://www.lagabiere.com/,info@lagabiere.com,450-376-6343,https://www.facebook.com/Lagabiere/,http://www.ratebeer.com/brewers/lagabiere/15804/,https://untappd.com/Lagabiere,X,X,?,?,https://www.instagram.com/lagabiere/,?,?,,
L'ESPACE PUBLIC - BRASSEURS DU QUARTIER,9247-5375 QUÉBEC INC.,,"3632, RUE ONTARIO EST",MONTRÉAL ,H1W 1R7 ,Québec,Canada,45.545397,-73.544393,6,AB060 ,,Producteur artisanal de bière ,1,2011,http://www.lespacepublic.ca/,info@lespacepublic.ca,514-419-9979,https://www.facebook.com/Espacepublic/?fref=ts,http://www.ratebeer.com/brewers/lespace-public/13945/,https://untappd.com/w/l-espace-public-brasseurs-de-quartier/22743,X,https://twitter.com/lespacepublic,?,?,https://www.instagram.com/lespacepublic/,?,?,,
BRASSERIE ARTISANALE LA SOUCHE,9251-6863 QUÉBEC INC.,,"801, CHEMIN DE LA CANARDIÈRE ",QUÉBEC ,G1J 2B8 ,Québec,Canada,46.828713,-71.225838,3,AB061 ,,Producteur artisanal de bière ,0,2011,http://www.lasouche.ca/,info@lasouche.ca,581-742-1144,https://www.facebook.com/brasserieartisanalelasouche,http://www.ratebeer.com/brewers/la-souche/15628/,https://untappd.com/LaSoucheBrasserieArtisanale,https://www.aumenu.info/la-souche/,X,?,?,?,?,?,,
BENELUX (VERDUN),8005320 CANADA INC.,,"4026, RUE WELLINGTON",VERDUN,H4G 1V3 ,Québec,Canada,45.463416,-73.566807,6,AB062 ,,Producteur artisanal de bière ,1,2013,http://www.brasseriebenelux.com/,info@brasseriebenelux.com,514-508-5592,https://www.facebook.com/BrasserieArtisanaleBENELUX,http://www.ratebeer.com/brewers/benelux-brasserie-artisanale-verdun/16811/,https://untappd.com/w/benelux-brasserie-artisanale/4092,X,https://twitter.com/ruewellington,?,?,?,?,?,,
LA VOIE MALTÉE (QUÉBEC),9261-9238 QUÉBEC INC.,,"1040, BOULEVARD PIERRE BERTRAND ",QUÉBEC ,G1M 3H1 ,Québec,Canada,46.828989,-71.27581,3,AB063 ,,Producteur artisanal de bière ,1,2013,http://www.lavoiemaltee.com/,publavoiemaltee@hotmail.com,418-683-5558,https://www.facebook.com/voiemaltee/,http://www.ratebeer.com/brewers/la-voie-maltee/3253/,https://untappd.com/w/la-voie-malt-e/10366,X,https://twitter.com/VoieMaltee,?,?,https://www.instagram.com/lavoiemaltee/,?,?,,
LES TROIS BRASSEURS ,9190-7121 QUÉBEC INC.,,"5401, BOULEVARD DES GALLERIES - PORTE 107 ",QUÉBEC ,G2K 1N4 ,Québec,Canada,46.825737,-71.234911,3,AB065 ,,Producteur artisanal de bière ,0,2013,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,418-204-2086,https://www.facebook.com/3BrasseursCapitale,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
LES TROIS BRASSEURS (POINTE-CLAIRE),9190-7121 QUÉBEC INC.,,"46-A, BOULEVARD BRUNSWICK ",POINTE-CLAIRE ,H9B 2L3 ,Québec,Canada,45.468852,-73.826575,6,AB066 ,,Producteur artisanal de bière ,0,2013,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,514-370-5590,https://www.facebook.com/3brasseurspteclaire,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
LES TROIS BRASSEURS ,9190-7121 QUÉBEC INC.,,"650, GRANDE ALLÉE EST",QUÉBEC ,G1R 2K5 ,Québec,Canada,46.806694,-71.216178,3,AB067 ,,Producteur artisanal de bière ,0,2014,http://www.les3brasseurs.ca/,info@les3brasseurs.ca,418-478-2868,https://www.facebook.com/3BrasseursGA,http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/,https://untappd.com/Les3BrasseursThe3Brewers,X,https://twitter.com/3BrasseursCA,?,?,https://www.instagram.com/3brasseursca/,?,?,,
MICROBRASSERIE LA BOITE À MALT,MICROBRASSERIE LA BOITE À MALT INC. ,,"585, ROUTE 116 - LOCAL 402 ",SAINT-NICOLAS,G7A 2P6 ,Québec,Canada,46.79101,-71.175327,12,AB068 ,,Producteur artisanal de bière ,1,2014,http://www.boiteamalt.com/,info@boiteamalt.com,418-836-1000,https://www.facebook.com/boiteamalt/?fref=ts,http://www.ratebeer.com/brewers/microbrasserie-la-boite-a-malt/18787/,https://untappd.com/BoiteaMalt,X,https://twitter.com/boiteamalt,Q26205072,?,?,?,?,,
RESTO-GRILLADE ZEMA,9227-7862 QUÉBEC INC.,MICROBRASSERIE KAPADOKYA,"1507, AVENUE SAINT-LOUIS ",PLESSISVILLE ,G6L 2M7 ,Québec,Canada,46.208855,-71.75957,17,AB070 ,,Producteur artisanal de bière ,0,2014,?,?,819-362-9362,https://www.facebook.com/Microbrasserie-Kapadokya-229066360625351/timeline/,http://www.ratebeer.com/brewers/microbrasserie-kapadokya/22174/,https://untappd.com/w/microbrasserie-kapadokya/286988,X,X,?,?,?,?,?,,
RESTAURANT LAUREA,9285-2433 QUÉBEC INC.,LAUREA / LORBEER PUB,"381, LAURIER OUEST",MONTRÉAL,H2V 2K3,Québec,Canada,45.5191,-73.596361,6,AB072,,Producteur artisanal de bière ,0,2009,http://lorbeer.ca/,info@lorbeer.ca,514-507-2160,https://www.facebook.com/brasserielorbeer,?,https://untappd.com/w/lorbeer/222909,X,X,?,?,?,?,?,,
COOPÉRATIVE BRASSICOLE DE L'AUTRE MONDE,COOPÉRATIVE BRASSICOLE DE L'AUTRE MONDE,"BOQUÉBIÈRE, MICROBRASSERIE DE SHERBROOKE","50, RUE WELLINGTON NORD ",SHERBROOKE ,J1H 5B7 ,Québec,Canada,45.402304,-71.890713,5,AB073 ,,Producteur artisanal de bière ,0,2007,http://www.boquebiere.com/,info@boquebiere.com,819-542-1311,https://www.facebook.com/boquebiere/,http://www.ratebeer.com/brewers/boquebiere/10156/,https://untappd.com/boquebiere,X,https://twitter.com/Boquebiere,?,?,https://www.instagram.com/boquebiere/,?,?,,
PUB LA VOIE MALTÉE ,9115-3023 QUÉBEC INC.,,"2509, RUE SAINT-DOMINIQUE ",JONQUIÈRE,G7X 6K1 ,Québec,Canada,48.364064,-71.284807,2,AB074 ,,Producteur artisanal de bière ,1,2002,http://www.lavoiemaltee.com/,publavoiemaltee@hotmail.com,418-542-4373,https://www.facebook.com/voiemaltee/,http://www.ratebeer.com/brewers/la-voie-maltee/3253/,https://untappd.com/w/la-voie-malt-e/10366,https://www.aumenu.info/la-voie-maltee-jonquiere/,https://twitter.com/VoieMaltee,?,?,https://www.instagram.com/lavoiemaltee/,?,?,,
BRASSERIE HARRICANA ,9188-3173 QUÉBEC INC.,,"95, RUE JEAN-TALON EST ",MONTRÉAL ,H2R 2W8 ,Québec,Canada,45.533774,-73.619444,6,AB075 ,,Producteur artisanal de bière,0,2014,http://www.brasserieharricana.com/,info@brasserieharricana.com,514-667-0006,https://www.facebook.com/bharricana/,http://www.ratebeer.com/brewers/brasserie-harricana/22336/,https://untappd.com/BrasserieHarricana,X,https://twitter.com/BHarricana,?,?,https://www.instagram.com/brasserieharricana/,?,?,,
À L'ABORDAGE MICROBRASSERIE,À L'ABORDAGE MICROBRASSERIE INC.,,"10, RUE PRINCIPALE SUD ",SUTTON,J0E 2K0 ,Québec,Canada,45.112625,-72.617367,16,AB076 ,,Producteur artisanal de bière ,0,2015,http://www.brasseriealabordage.com/,info@brasseriealabordage.com,438-863-4358,https://www.facebook.com/alabordagebrasserie/,http://www.ratebeer.com/brewers/a-labordage/24792/,https://untappd.com/alabordage,X,X,?,?,https://www.instagram.com/microalabordage/,?,?,,
LA CONFRÉRIE MICROBRASSERIE,LE VERGER DE TILLY INC.,,"4385, TERRASSE DES CHÊNES",SAINT-ANTOINE-DE-TILLY ,G0S 2C0 ,Québec,Canada,46.655855,-71.602242,12,AB077 ,,Producteur artisanal de bière ,0,2015,http://www.vergerdetilly.com/,vergerdetilly@videotron.ca,581-982-8484,https://www.facebook.com/pages/La-Confr%C3%A9rie-Microbrasserie/100393600018755?sk=info,http://www.ratebeer.com/brewers/la-confrerie-microbrasserie/25506/,https://untappd.com/LaConfrerieMicrobrasserie,https://www.aumenu.info/la-confrerie-microbrasserie/,X,Q26205068,?,?,?,?,,
BARBE BROUE PUB ,9196-0351 QUÉBEC INC.,,"69, RUE SAINTE-ANNE ",VILLE-MARIE ,J9V 2B6,Québec,Canada,47.332054,-79.436392,8,AB078 ,,Producteur artisanal de bière ,0,2015,http://barbebrouepub.wix.com/barbebrouepub,barbe.broue.pub@gmail.com,819-629-7442,https://www.facebook.com/BarbeBroue,http://www.ratebeer.com/brewers/barbe-broue-pub/26717/,https://untappd.com/w/barbebroue/234411,X,X,?,?,?,?,?,,
